doc_id	title	author_id	first_name	surname_prefix	surname	full_name	birth_year	death_year	year_of_publication
albe002vors01	Een vorstelijke doornenkroon. Deel 2	albe002	Catharina		Alberdingk Thijm	Alberdingk Thijm, Catharina	1848.0	1908.0	1890
stij007into01	In de ton	stij007	Reimond		Stijns	Stijns, Reimond	1850.0	1905.0	1890
woud008verl01	Een verlaten post	woud008	Johanna	van	Woude	Woude, Johanna van	1853.0	1904.0	1891
smit034uith01	Uit het leven	smit034	Lodewijk		Smits	Smits, Lodewijk	1852.0	1911.0	1891
love002idon01	Idonia	love002	Virginie		Loveling	Loveling, Virginie	1836.0	1923.0	1891
wage014pass01	Een passie (onder ps. Vosmeer de Spie)	wage014	Maurits		Wagenvoort	Wagenvoort, Maurits	1859.0	1944.0	1891
alet002zust01	Zuster Bertha	alet002	Arnold		Aletrino	Aletrino, Arnold	1858.0	1916.0	1891
lamb004vanl01	Van Limburgs bodem	lamb004	L.H.J.		Lamberts Hurrelbrinck	Lamberts Hurrelbrinck, L.H.J.	1856.0	1941.0	1891
vosm001voge01	Vogels van diverse pluimage	vosm001	Carel		Vosmaer	Vosmaer, Carel	1826.0	1888.0	1872
rode004brug01	Bruges-la-Morte	rode004	Georges		Rodenbach	Rodenbach, Georges	1855.0	1898.0	1892
reyn017zust01	Zuster Clara. Schetsen uit het leven eener verpleegster in een stedelijk gasthuis	reyn017	J.P.		Reynvaan	Reynvaan, J.P.	1844.0	1919.0	1892
coen006verv01	Verveling	coen006	Frans		Coenen	Coenen, Frans	1866.0	1936.0	1892
hove006vrou01	Vrouwen lief en leed onder de tropen	hove006	Thérèse		Hoven	Hoven, Thérèse	1860.0	1941.0	1892
huyg004hoog03	Hoogenoord. Deel 2	huyg004	Cornélie		Huygens	Huygens, Cornélie	1848.0	1902.0	1892
huyg004hoog02	Hoogenoord. Deel 1	huyg004	Cornélie		Huygens	Huygens, Cornélie	1848.0	1902.0	1892
smit034boer01	De boer der Schranse	smit034	Lodewijk		Smits	Smits, Lodewijk	1852.0	1911.0	1892
love002dure01	Een dure eed	love002	Virginie		Loveling	Loveling, Virginie	1836.0	1923.0	1891
hove006insa01	In sarong en kabaai	hove006	Thérèse		Hoven	Hoven, Thérèse	1860.0	1941.0	1892
brin017scho02	De schoonzoon van Mevrouw de Roggeveen. Deel 2	brin017	Jan	ten	Brink	Brink, Jan ten	1834.0	1901.0	1873
brin017oost02	Oost-Indische dames en heeren. Deel 2	brin017	Jan	ten	Brink	Brink, Jan ten	1834.0	1901.0	1866
seip002jean01	Jean. 't Stumpke. Hawioe-ho!	seip002	Emile		Seipgens	Seipgens, Emile	1837.0	1896.0	1893
terw003corr02	Corrie's Tjisai. Deel 2	terw003	Wilhelmus Albertus		Terwogt	Terwogt, Wilhelmus Albertus	1838.0	1910.0	1893
lapi001goet01	Goëtia	lapi001	Frits		Lapidoth	Lapidoth, Frits	1861.0	1932.0	1893
brin017oost01	Oost-Indische dames en heeren. Deel 1	brin017	Jan	ten	Brink	Brink, Jan ten	1834.0	1901.0	1866
brin017scho01	De schoonzoon van Mevrouw de Roggeveen. Deel 1	brin017	Jan	ten	Brink	Brink, Jan ten	1834.0	1901.0	1872
derm004inko02	In de koffie. Deel 1	derm004	J.		Dermout	Dermout, J.			1893
nets002egoi03	Egoïsme. Deel 2	nets002	Frans		Netscher	Netscher, Frans	1864.0	1923.0	1893
nets002egoi02	Egoïsme. Deel 1	nets002	Frans		Netscher	Netscher, Frans	1864.0	1923.0	1893
terw003corr01	Corrie's Tjisai. Deel 1	terw003	Wilhelmus Albertus		Terwogt	Terwogt, Wilhelmus Albertus	1838.0	1910.0	1893
verm043gehe01	Geheugenissen	verm043	René		Vermandere	Vermandere, René	1857.0	1944.0	1893
derm004inko03	In de koffie. Deel 2	derm004	J.		Dermout	Dermout, J.			1893
brin017schi01	Eene schitterende 'carrière'	brin017	Jan	ten	Brink	Brink, Jan ten	1834.0	1901.0	1881
witm001klav01	Een klaverblad van vier	witm001	Tine	van	Berken	Berken, Tine van	1870.0	1899.0	1894
eman001nage01	Een nagelaten bekentenis	eman001	Marcellus		Emants	Emants, Marcellus	1848.0	1923.0	1894
daum001aboe03	Aboe Bakar. Deel 2 (onder ps. Maurits)	daum001	P.A.		Daum	Daum, P.A.	1850.0	1898.0	1894
daum001aboe02	Aboe Bakar. Deel 1 (onder ps. Maurits)	daum001	P.A.		Daum	Daum, P.A.	1850.0	1898.0	1894
brin017fami01	De familie Muller-Belmonte	brin017	Jan	ten	Brink	Brink, Jan ten	1834.0	1901.0	1880
deys001blan01	Blank en geel (onder ps. A.J.)	deys001	Lodewijk	van	Deyssel	Deyssel, Lodewijk van	1864.0	1952.0	1894
mela002jean01	Jeanne d'Arc. De maagd van Orleans (onder ps. Mathilde)	mela002			Melati van Java	Melati van Java	1853.0	1927.0	1894
osse002jodi01	't Jodinnetje van Elspeet	osse002	Bertha Elisabeth	van	Osselen-van Delden	Osselen-van Delden, Bertha Elisabeth van	1847.0	1936.0	1895
albe002koni01	Een koninklijke misdaad	albe002	Catharina		Alberdingk Thijm	Alberdingk Thijm, Catharina	1848.0	1908.0	1887
alet002mart01	Martha	alet002	Arnold		Aletrino	Aletrino, Arnold	1858.0	1916.0	1895
wage014feli01	Felicia Beveridge. Analyse van een gemoedstoestand (onder ps. Vosmeer de Spie)	wage014	Maurits		Wagenvoort	Wagenvoort, Maurits	1859.0	1944.0	1895
love002brui01	De bruid des Heeren	love002	Virginie		Loveling	Loveling, Virginie	1836.0	1923.0	1895
macl001poor01	De poorterszoon van Hoorn	macl001	Margaretha Wijnanda		Maclaine Pont	Maclaine Pont, Margaretha Wijnanda	1852.0	1928.0	1895
albe002vors03	Een vorstelijke doornenkroon. Deel 1	albe002	Catharina		Alberdingk Thijm	Alberdingk Thijm, Catharina	1848.0	1908.0	1890
snij011kitt01	Kitty	snij011	Marie		Snijder van Wissenkerke	Snijder van Wissenkerke, Marie	1864.0	1945.0	1896
savo001vraa01	Vragensmoede	savo001	Anna	de	Savornin Lohman	Savornin Lohman, Anna de	1868.0	1930.0	1896
paap002jean02	Jeanne Collette. Deel 1	paap002	Willem		Paap	Paap, Willem	1856.0	1923.0	1896
paap002jean03	Jeanne Collette. Deel 2	paap002	Willem		Paap	Paap, Willem	1856.0	1923.0	1896
maur005amst01	Amsterdam bij dag en nacht	maur005	Justus	van	Maurik	Maurik, Justus van	1846.0	1904.0	1890
cler063cont03	De controleur van Tjiworo. Deel 2	cler063	A.	le	Clerq	Clerq, A. le			1896
cler063cont02	De controleur van Tjiworo. Deel 1	cler063	A.	le	Clerq	Clerq, A. le			1896
